GO:0033781	NCBITaxon:9606;
GO:0008375	NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:83332;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:83333;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:185431;NCBITaxon:227321;NCBITaxon:10116;NCBITaxon:36329;NCBITaxon:284812;NCBITaxon:3702;
GO:0009865	NCBITaxon:3702;
GO:0003690	NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:83332;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:83333;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:243230;NCBITaxon:227321;NCBITaxon:99287;NCBITaxon:39947;NCBITaxon:9031;NCBITaxon:10116;NCBITaxon:36329;NCBITaxon:9823;NCBITaxon:237561;NCBITaxon:284812;NCBITaxon:3702;NCBITaxon:208964;
GO:0045029	NCBITaxon:10090;
GO:0070781	NCBITaxon:10116;NCBITaxon:6239;NCBITaxon:9606;
GO:0006884	NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:8364;NCBITaxon:83333;NCBITaxon:10116;NCBITaxon:9823;NCBITaxon:284812;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:3702;
GO:0000915	NCBITaxon:44689;NCBITaxon:284812;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:227321;NCBITaxon:559292;NCBITaxon:7227;
GO:0008445	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;
GO:0046510	NCBITaxon:3702;
GO:0000016	NCBITaxon:10116;
GO:0048471	NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:9615;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:9796;NCBITaxon:227321;NCBITaxon:10116;NCBITaxon:9031;NCBITaxon:36329;NCBITaxon:9823;NCBITaxon:284812;NCBITaxon:7668;NCBITaxon:3702;
GO:0004703	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9913;NCBITaxon:7227;
